time,edge_id,edge_name,flow,speed,density,queue
2040,bottom1B0,Nguyễn Trãi (Nam→vào),36.0,2.351,120.0,32
2040,right0B0,Trường Chinh (Đông→vào),4.0,35.271,13.333,0
2040,B1B0,Tây Sơn (Tây→vào),18.0,11.06,60.0,12
2100,A0B0,Nguyễn Trãi (Bắc→vào),45.0,3.271,150.0,33
2100,bottom1B0,Nguyễn Trãi (Nam→vào),26.0,8.362,86.667,2
2100,right0B0,Trường Chinh (Đông→vào),14.0,2.823,46.667,12
2100,B1B0,Tây Sơn (Tây→vào),8.0,29.386,26.667,0
2160,A0B0,Nguyễn Trãi (Bắc→vào),34.0,10.396,113.333,1
2160,bottom1B0,Nguyễn Trãi (Nam→vào),42.0,1.204,140.0,40
2160,right0B0,Trường Chinh (Đông→vào),4.0,29.015,13.333,0
2160,B1B0,Tây Sơn (Tây→vào),19.0,6.581,63.333,13
2220,A0B0,Nguyễn Trãi (Bắc→vào),53.0,4.631,176.667,36
2220,bottom1B0,Nguyễn Trãi (Nam→vào),41.0,4.227,136.667,12
2220,right0B0,Trường Chinh (Đông→vào),15.0,5.721,50.0,12
2220,B1B0,Tây Sơn (Tây→vào),5.0,39.591,16.667,0
2280,A0B0,Nguyễn Trãi (Bắc→vào),46.0,8.089,153.333,3
2280,bottom1B0,Nguyễn Trãi (Nam→vào),57.0,1.34,190.0,47
2280,right0B0,Trường Chinh (Đông→vào),3.0,25.852,10.0,0
2280,B1B0,Tây Sơn (Tây→vào),18.0,9.345,60.0,12
2340,A0B0,Nguyễn Trãi (Bắc→vào),64.0,2.786,213.333,41
2340,bottom1B0,Nguyễn Trãi (Nam→vào),56.0,1.317,186.667,18
2340,right0B0,Trường Chinh (Đông→vào),14.0,7.807,46.667,8
2340,B1B0,Tây Sơn (Tây→vào),4.0,43.054,13.333,0
2400,A0B0,Nguyễn Trãi (Bắc→vào),63.0,4.015,210.0,19
2400,bottom1B0,Nguyễn Trãi (Nam→vào),71.0,1.165,236.667,54
2400,right0B0,Trường Chinh (Đông→vào),4.0,15.034,13.333,0
2400,B1B0,Tây Sơn (Tây→vào),17.0,10.916,56.667,12
2460,A0B0,Nguyễn Trãi (Bắc→vào),81.0,2.599,270.0,47
2460,bottom1B0,Nguyễn Trãi (Nam→vào),65.0,1.9,216.667,31
2460,right0B0,Trường Chinh (Đông→vào),15.0,4.873,50.0,12
2460,B1B0,Tây Sơn (Tây→vào),7.0,36.554,23.333,0
2520,A0B0,Nguyễn Trãi (Bắc→vào),69.0,4.376,230.0,8
2520,bottom1B0,Nguyễn Trãi (Nam→vào),75.0,1.027,250.0,58
2520,right0B0,Trường Chinh (Đông→vào),2.0,24.279,6.667,0
2520,B1B0,Tây Sơn (Tây→vào),17.0,10.372,56.667,12
2580,A0B0,Nguyễn Trãi (Bắc→vào),89.0,1.992,296.667,48
2580,bottom1B0,Nguyễn Trãi (Nam→vào),68.0,1.258,226.667,37
2580,right0B0,Trường Chinh (Đông→vào),14.0,7.112,46.667,10
2580,B1B0,Tây Sơn (Tây→vào),6.0,41.714,20.0,0
2640,A0B0,Nguyễn Trãi (Bắc→vào),86.0,3.814,286.667,21
2640,bottom1B0,Nguyễn Trãi (Nam→vào),76.0,0.767,253.333,60
2640,right0B0,Trường Chinh (Đông→vào),3.0,38.474,10.0,0
2640,B1B0,Tây Sơn (Tây→vào),17.0,10.615,56.667,9
2700,A0B0,Nguyễn Trãi (Bắc→vào),102.0,0.93,340.0,68
2700,bottom1B0,Nguyễn Trãi (Nam→vào),68.0,1.643,226.667,34
2700,right0B0,Trường Chinh (Đông→vào),13.0,2.991,43.333,9
2700,B1B0,Tây Sơn (Tây→vào),8.0,27.962,26.667,0
2760,A0B0,Nguyễn Trãi (Bắc→vào),83.0,4.336,276.667,6
2760,bottom1B0,Nguyễn Trãi (Nam→vào),76.0,0.721,253.333,57
2760,right0B0,Trường Chinh (Đông→vào),1.0,43.645,3.333,0
2760,B1B0,Tây Sơn (Tây→vào),13.0,6.506,43.333,10
2820,A0B0,Nguyễn Trãi (Bắc→vào),90.0,1.707,300.0,53
2820,bottom1B0,Nguyễn Trãi (Nam→vào),64.0,1.966,213.333,20
2820,right0B0,Trường Chinh (Đông→vào),4.0,11.89,13.333,3
2820,B1B0,Tây Sơn (Tây→vào),4.0,31.962,13.333,0
2880,A0B0,Nguyễn Trãi (Bắc→vào),77.0,3.835,256.667,13
2880,bottom1B0,Nguyễn Trãi (Nam→vào),76.0,0.605,253.333,55
2880,right0B0,Trường Chinh (Đông→vào),1.0,40.456,3.333,0
2880,B1B0,Tây Sơn (Tây→vào),7.0,9.025,23.333,6
2940,A0B0,Nguyễn Trãi (Bắc→vào),85.0,1.393,283.333,55
2940,bottom1B0,Nguyễn Trãi (Nam→vào),66.0,1.757,220.0,28
2940,right0B0,Trường Chinh (Đông→vào),4.0,8.019,13.333,4
2940,B1B0,Tây Sơn (Tây→vào),2.0,36.431,6.667,0
3000,A0B0,Nguyễn Trãi (Bắc→vào),66.0,2.692,220.0,20
3000,bottom1B0,Nguyễn Trãi (Nam→vào),76.0,0.678,253.333,54
3000,right0B0,Trường Chinh (Đông→vào),1.0,33.869,3.333,0
3000,B1B0,Tây Sơn (Tây→vào),6.0,18.253,20.0,4
3060,A0B0,Nguyễn Trãi (Bắc→vào),74.0,0.498,246.667,53
3060,bottom1B0,Nguyễn Trãi (Nam→vào),64.0,2.02,213.333,20
3060,right0B0,Trường Chinh (Đông→vào),4.0,8.74,13.333,3
3060,B1B0,Tây Sơn (Tây→vào),1.0,42.797,3.333,0
3120,A0B0,Nguyễn Trãi (Bắc→vào),54.0,6.177,180.0,5
3120,bottom1B0,Nguyễn Trãi (Nam→vào),76.0,0.751,253.333,57
3120,right0B0,Trường Chinh (Đông→vào),1.0,39.562,3.333,0
3120,B1B0,Tây Sơn (Tây→vào),5.0,15.442,16.667,3
3180,A0B0,Nguyễn Trãi (Bắc→vào),61.0,2.253,203.333,41
3180,bottom1B0,Nguyễn Trãi (Nam→vào),63.0,1.684,210.0,23
3180,right0B0,Trường Chinh (Đông→vào),4.0,8.533,13.333,3
3180,B1B0,Tây Sơn (Tây→vào),2.0,41.685,6.667,0
3240,A0B0,Nguyễn Trãi (Bắc→vào),48.0,3.067,160.0,13
3240,bottom1B0,Nguyễn Trãi (Nam→vào),69.0,0.598,230.0,54
3240,right0B0,Trường Chinh (Đông→vào),1.0,40.097,3.333,0
3240,B1B0,Tây Sơn (Tây→vào),5.0,13.677,16.667,2
