time,edge_id,edge_name,flow,speed,density,queue
3000,B1B0,Tây Sơn (Tây→vào),6.0,18.226,20.0,4.0
3060,A0B0,Nguyễn Trãi (Bắc→vào),78.0,1.686,260.0,55.0
3060,bottom1B0,Nguyễn Trãi (Nam→vào),57.0,1.92,190.0,16.0
3060,right0B0,Trường Chinh (Đông→vào),4.0,8.517,13.333,3.0
3060,B1B0,Tây Sơn (Tây→vào),1.0,43.19,3.333,0.0
3120,A0B0,Nguyễn Trãi (Bắc→vào),58.0,3.091,193.333,19.0
3120,bottom1B0,Nguyễn Trãi (Nam→vào),65.0,0.333,216.667,54.0
3120,right0B0,Trường Chinh (Đông→vào),1.0,39.929,3.333,0.0
3120,B1B0,Tây Sơn (Tây→vào),5.0,15.67,16.667,3.0
3180,A0B0,Nguyễn Trãi (Bắc→vào),65.0,0.828,216.667,48.0
3180,bottom1B0,Nguyễn Trãi (Nam→vào),45.0,2.966,150.0,10.0
3180,right0B0,Trường Chinh (Đông→vào),4.0,8.373,13.333,3.0
3180,B1B0,Tây Sơn (Tây→vào),2.0,41.959,6.667,0.0
3240,A0B0,Nguyễn Trãi (Bắc→vào),49.0,6.415,163.333,2.0
3240,bottom1B0,Nguyễn Trãi (Nam→vào),52.0,0.12,173.333,48.0
3240,right0B0,Trường Chinh (Đông→vào),1.0,40.688,3.333,0.0
3240,B1B0,Tây Sơn (Tây→vào),5.0,13.287,16.667,2.0
3300,A0B0,Nguyễn Trãi (Bắc→vào),57.0,1.49,190.0,45.0
3300,bottom1B0,Nguyễn Trãi (Nam→vào),37.0,2.791,123.333,5.0
3300,right0B0,Trường Chinh (Đông→vào),4.0,8.018,13.333,4.0
3300,B1B0,Tây Sơn (Tây→vào),3.0,26.129,10.0,0.0
3360,A0B0,Nguyễn Trãi (Bắc→vào),40.0,5.101,133.333,8.0
3360,bottom1B0,Nguyễn Trãi (Nam→vào),44.0,0.061,146.667,43.0
3360,right0B0,Trường Chinh (Đông→vào),1.0,41.128,3.333,0.0
3360,B1B0,Tây Sơn (Tây→vào),7.0,15.296,23.333,5.0
3420,A0B0,Nguyễn Trãi (Bắc→vào),47.0,0.846,156.667,42.0
3420,bottom1B0,Nguyễn Trãi (Nam→vào),26.0,5.195,86.667,3.0
3420,right0B0,Trường Chinh (Đông→vào),4.0,8.23,13.333,3.0
3420,B1B0,Tây Sơn (Tây→vào),1.0,34.358,3.333,0.0
3480,A0B0,Nguyễn Trãi (Bắc→vào),29.0,8.646,96.667,2.0
3480,bottom1B0,Nguyễn Trãi (Nam→vào),33.0,0.139,110.0,32.0
3480,right0B0,Trường Chinh (Đông→vào),1.0,42.922,3.333,0.0
3480,B1B0,Tây Sơn (Tây→vào),5.0,18.056,16.667,3.0
3540,A0B0,Nguyễn Trãi (Bắc→vào),37.0,3.016,123.333,33.0
3540,bottom1B0,Nguyễn Trãi (Nam→vào),14.0,4.628,46.667,4.0
3540,right0B0,Trường Chinh (Đông→vào),4.0,8.043,13.333,4.0
3540,B1B0,Tây Sơn (Tây→vào),3.0,29.451,10.0,1.0
3600,A0B0,Nguyễn Trãi (Bắc→vào),21.0,10.729,70.0,2.0
3600,bottom1B0,Nguyễn Trãi (Nam→vào),21.0,1.486,70.0,20.0
3600,right0B0,Trường Chinh (Đông→vào),1.0,29.306,3.333,0.0
3600,B1B0,Tây Sơn (Tây→vào),6.0,11.045,20.0,5.0
3660,A0B0,Nguyễn Trãi (Bắc→vào),9.137122685889494,9.874232937193167,30.334619613937914,4.975955265769167
3660,bottom1B0,Nguyễn Trãi (Nam→vào),0.9480007946879753,33.636715135824026,3.5718451975259184,0.0
3660,right0B0,Trường Chinh (Đông→vào),4.150090239161291,7.3653171619897595,13.39401192677917,2.657889323194212
3660,B1B0,Tây Sơn (Tây→vào),1.0470282358195606,37.5551795147397,3.429786502936711,0.0
3720,A0B0,Nguyễn Trãi (Bắc→vào),1.8048964811346164,43.647727003764615,6.648071322149196,0.0
3720,bottom1B0,Nguyễn Trãi (Nam→vào),6.544237172598189,2.2773206718589507,23.134193995434778,6.438353660016099
3720,right0B0,Trường Chinh (Đông→vào),0.0,37.80264820020641,0.0,0.0
3720,B1B0,Tây Sơn (Tây→vào),4.920939351914104,8.960777466346652,17.02559163748728,4.153463448092245
3780,A0B0,Nguyễn Trãi (Bắc→vào),7.993279536998284,7.788868090900201,25.53160288879916,5.657951724262131
3780,bottom1B0,Nguyễn Trãi (Nam→vào),0.957347803621321,37.218164244800946,3.443919779631633,0.0
3780,right0B0,Trường Chinh (Đông→vào),4.175879594972566,14.10737629965212,14.056506581513865,3.0671720575084067
3780,B1B0,Tây Sơn (Tây→vào),2.0777791935428946,34.90000685874863,6.789183244602531,0.0
